# X_0;X_1;X_2;X_3;X_4;R_0;R_1;R_2;R_3;S_0;S_1;S_2;S_3;G_0;G_1;G_2;G_3;I_0;I_1;I_2;I_3
4.32261;0.33370;29834.02947;616578.07268;248485952.90357;16.42826;337.67026;0.01800;1129.54762;12.01454;23.28156;0.00226;139.68937;-4.41372;-314.38870;-0.01574;-989.85825;0.00000;0.00000;0.00000;0.00000
5.01823;0.89547;32764.07860;619940.75811;244288470.08249;16.54696;365.89823;0.01800;1203.87218;15.25893;29.56850;0.00258;177.41098;-1.28802;-336.32973;-0.01542;-1026.46120;0.00000;0.00000;0.00000;0.00000
5.36601;1.06718;33674.10283;572948.92483;243179755.35696;15.32207;374.48571;0.01800;1227.20568;16.59937;32.16598;0.00274;192.99586;1.27730;-342.31974;-0.01526;-1034.20983;1.00000;0.00000;0.00000;0.00000
5.59523;0.71466;25118.87646;574590.08059;230317831.69598;15.27541;290.39151;0.01800;978.04026;16.28122;31.54947;0.00324;189.29682;1.00581;-258.84204;-0.01476;-788.74345;1.00000;0.00000;0.00000;0.00000
4.51857;1.14727;29289.18611;611342.76669;254905390.86696;16.28539;332.32394;0.01800;1122.94476;14.61939;28.32921;0.00251;169.97526;-1.66599;-303.99473;-0.01549;-952.96950;0.00000;0.00000;0.00000;0.00000
4.97098;1.01227;30736.20867;616907.03987;249326891.68985;16.44691;346.45587;0.01800;1155.16330;15.43840;29.91626;0.00266;179.49754;-1.00852;-316.53961;-0.01534;-975.66576;0.00000;0.00000;0.00000;0.00000
5.11026;0.76280;27734.77198;613736.77813;260790504.94132;16.32843;316.90335;0.01800;1088.19764;15.15406;29.36529;0.00283;176.19171;-1.17437;-287.53807;-0.01517;-912.00593;0.00000;0.00000;0.00000;0.00000
5.18310;1.39036;33605.67872;579689.88508;263264628.87622;15.49867;373.84299;0.01800;1251.05319;16.96131;32.86734;0.00270;197.20402;1.46264;-340.97565;-0.01530;-1053.84917;1.00000;0.00000;0.00000;0.00000
4.82585;0.52759;24022.61336;676057.70928;251247969.76134;17.87715;279.07179;0.01800;975.01248;13.81332;26.76722;0.00284;160.60330;-4.06383;-252.30458;-0.01516;-814.40919;0.00000;0.00000;0.00000;0.00000
5.77662;0.61318;26795.01573;599921.55486;240901589.25399;15.95667;307.45999;0.01800;1037.17846;16.48742;31.94903;0.00322;191.69421;0.53074;-275.51096;-0.01478;-845.48426;1.00000;0.00000;0.00000;0.00000
4.88053;0.59358;29033.10112;620401.71033;249305712.82751;16.51843;329.80053;0.01800;1108.81166;14.12468;27.37056;0.00262;164.22335;-2.39375;-302.42998;-0.01538;-944.58831;0.00000;0.00000;0.00000;0.00000
4.57802;0.63960;32262.01218;592339.21957;242355280.95611;15.81918;361.12401;0.01800;1187.74149;13.46285;26.08808;0.00235;156.52851;-2.35632;-335.03593;-0.01565;-1031.21298;0.00000;0.00000;0.00000;0.00000
5.43861;1.02090;32075.44958;609442.33880;238925416.66395;16.26545;359.34336;0.01800;1178.27676;16.66728;32.29757;0.00284;193.78541;0.40183;-327.04579;-0.01516;-984.49136;1.00000;0.00000;0.00000;0.00000
4.29568;0.67956;27437.69744;619331.92519;242264159.53702;16.46990;313.92794;0.01800;1056.40349;12.83747;24.87623;0.00240;149.25738;-3.63243;-289.05171;-0.01560;-907.14611;0.00000;0.00000;0.00000;0.00000
4.93715;0.86798;25730.25526;630368.52941;247058116.37192;16.73074;296.65078;0.01800;1016.09733;14.97879;29.02564;0.00286;174.15386;-1.75195;-267.62513;-0.01514;-841.94347;0.00000;0.00000;0.00000;0.00000
4.67282;0.65772;27082.16143;615489.61772;243971610.95071;16.36517;310.35508;0.01800;1048.91845;13.75423;26.65272;0.00262;159.91630;-2.61093;-283.70236;-0.01538;-889.00215;0.00000;0.00000;0.00000;0.00000
4.87314;1.18031;28088.26020;601450.49528;232942907.37901;16.01313;320.43196;0.01800;1062.16760;15.61953;30.26726;0.00276;181.60357;-0.39360;-290.16470;-0.01524;-880.56403;0.00000;0.00000;0.00000;0.00000
4.63657;1.42451;32290.06594;598896.47396;244870140.83401;15.99128;361.39146;0.01800;1191.72357;15.63922;30.30541;0.00249;181.83244;-0.35207;-331.08605;-0.01551;-1009.89114;0.00000;0.00000;0.00000;0.00000
5.14064;0.97777;32324.93092;626723.87684;242858179.78432;16.72014;361.72373;0.01800;1190.09659;15.78714;30.59205;0.00267;183.55232;-0.93299;-331.13168;-0.01533;-1006.54427;0.00000;0.00000;0.00000;0.00000
4.85187;0.84092;27404.15297;583204.82468;247885454.87535;15.52942;313.59140;0.01800;1062.68634;14.68892;28.46393;0.00273;170.78358;-0.84050;-285.12747;-0.01527;-891.90277;0.00000;0.00000;0.00000;0.00000
5.65170;1.47627;32421.17690;607332.83123;236686485.57289;16.21352;362.64034;0.01800;1184.81471;18.39206;35.63983;0.00299;213.83896;2.17855;-327.00051;-0.01501;-970.97575;1.00000;0.00000;0.00000;0.00000
4.60451;0.46608;33581.80760;554326.07682;232000553.52946;14.83162;373.61865;0.01800;1210.38588;13.08349;25.35296;0.00229;152.11777;-1.74813;-348.26568;-0.01571;-1058.26810;0.00000;0.00000;0.00000;0.00000
5.17282;0.41029;34640.48024;594175.64780;239997881.69379;15.88752;383.51176;0.01800;1249.41835;14.40591;27.91552;0.00252;167.49313;-1.48161;-355.59624;-0.01548;-1081.92522;0.00000;0.00000;0.00000;0.00000
5.41879;0.42311;27939.25119;568251.73270;265371519.93639;15.14566;318.94608;0.01800;1099.62318;15.07368;29.20952;0.00293;175.25710;-0.07198;-289.73657;-0.01507;-924.36608;0.00000;0.00000;0.00000;0.00000
